How did Lincoln handle Fort Sumter?	He didn't send troops, he made the South decide whether to attack or not.
"The United States House of Representatives represents <span class=cloze>[...]</span><div><img src=""paste-14770392530945.jpg"" /></div>"	"The United States House of Representatives represents <span class=cloze>the population of the USA in a proportional manner.&nbsp;</span><div><img src=""paste-14770392530945.jpg"" /></div><br> "
The total number of Representatives is <span class=cloze>[...]</span>	"The total number of Representatives is <span class=cloze>435</span><br> <img src=""paste-14821932138497.jpg"" />"
California, the most populous state, keeps <span class=cloze>[...]</span>&nbsp;Representatives of a total of <span class=cloze>[...]</span>	"California, the most populous state, keeps <span class=cloze>53</span>&nbsp;Representatives of a total of <span class=cloze>435.</span><br> <img src=""paste-14821932138497.jpg"" />"
As California keeps 53 representatives, it is divided into <span class=cloze>[...]</span>	"As California keeps 53 representatives, it is divided into <span class=cloze>53 districts, each one electing one representative.</span><br> <img src=""paste-14821932138497.jpg"" />"
As <span class=cloze>[...]</span> keeps 53 representatives, it is divided into 53 districts, each one electing one representative.	"As <span class=cloze>California</span> keeps 53 representatives, it is divided into 53 districts, each one electing one representative.<br> <img src=""paste-14821932138497.jpg"" />"
how long has hominid life existed on earth	3 to 4 million years
when did modern humans appear	100,000 to 250,000 years ago
how far does history of human civilization streatch	5,000 to 6,000 years
prehistory	time preceding human civilization
[...] has no native human population	Antarctica
the smallest continent	Australia
oldest surviving ethnic group	Aborigines
where do Aborigines live	Australia
Oceania	thousands of islands in Pacific Ocean + Australia
Africa considered to be	birthplace of humanity
world's largest desert	Sahara
location of Sahara	top third of Africa
Asia	largest and most populous continent
which continent contains most diverse mix of climates, languages, cultures	Asia
Asia's subregions	Middle East, Central Asia, South Asia (Indian subcontinent), Southeast Asia, East Asia (China, Korea, Japan)
Europe	small continent with large population<div>resource-rich</div><div>generally mild and temperate in climate</div>
Eurasia	land mass containing Europe and Asia
Afro-Eurasian	used to describe trends spanning Africa and Eurasia
North and South America	orginally settled by migrating people from Asia who crossed temporary land bridge
until 1400s how did Americas develop	in cultural and environmental isolation from Afro-Eurasian world
geographic determinisim	old school of thought that argued that geography was force behind society's development<div>opinion no longer popular today</div>
Americas resource and agriculture	abundat resources and agriculturally fertile
1492 onward, what happened to americas	european contact changeg americas dramatically
water transport	easier and more efficient than overland travel for thousands of years
societies more prone to develop advanced civilizations if local geography featured one or more of...	moderate climate<div>flat fertile land</div><div>reliable source of water</div><div>topography that permitted easy movement</div><div>access to river, seacoast, lake for transport or food supply</div><div>natural resources</div><div>proximity to trade routes</div>
"""Out of Africa"" thesis"	Homo sapiens arose in East African 100,000 to 200,000 years ago and migrated outward
multiregional tehsis	less popular opposing model of out of africa thesis<div>modern humans appeared independently in various places</div>
peopling of the earth	migration of Homo sapiens that began 100,000 years ago
process of peopling of the earth	100,000 years ago &nbsp; &nbsp; &nbsp;hunter-forager groups migrate to middle east<div>70,000 years ago &nbsp; &nbsp; &nbsp; &nbsp;from middle east to warm southern parts of Asia (India and Southeast Asia, China)</div><div>50,000 years ago &nbsp; &nbsp; &nbsp; &nbsp;SE asia --&gt; Australia and oceania</div><div>40,000 years ago &nbsp; &nbsp; &nbsp; &nbsp;move to Europe, central asia, siberia</div><div>15,000 years ago &nbsp; &nbsp; &nbsp; &nbsp;moved into Americas crossing Bering land bridge between Siberia and Alaska</div>
why europe, central asia, siberia took longer to populate	ice ages lasted till 12,000 years ago
Neolithic Revolution	8000 BCE<div>humans settled most of globe</div>
Stone Age	2.5 million to 5,000 years ago<div>named after stone tools made by earliest humans</div>
Stone Age subdivisions	"Paleolithic ""early Stone Age"" 12,000 to 10,000 years ago<div>Neolithic ""recent Stone Age"" begin 8000 BCE</div>"
end of ice ages	began transition to Neolithic
hunting and foraging	during paleolithic<div>lived off resources from land</div><div>nomadic</div>
kinship groups	social organizaiton during Stone Age<div>extended families forming clans, bands, tribes</div>
hunter-forager societies	free of hierarchy - most members performed similar functions<div>little private property, no ownership iof land</div>
Stone Age hunter-forager religious life	practiced ancestor veneration<div>believed in animism - all things in natural world animated by spirits</div>
shaman	religious leader in stone age hunter-forager societies
gender division of labor	men hunted large game, fought, performed heavy labor<div>women gathered plants, hunted small game, prepared food, looked after home and children</div>
end of ice ages and milder, warmer temperatures of Neolithic era caused what environmental changes	tundra transformed into grassland<div>grasslands became forests</div>
population change in beginning of stone age	2 million at end of last ice age (8000 BCE)<div>10 million at 5000 BCE</div><div>50 - 100 millioni at 1000 BCE</div>
pastoralism and agriculture	produce own food by domesticating animals and plants
domesticaiton of animals	began during stone age<div>first dog, then goats, sheep, pigs</div>
pastoralist/herding societies	domesticate animals but not plants<div>common in grasslands of Afro-Eurasia</div>
social stratification	class and gender divisions that first arose among pastoralists
wheeled vehicles, chariots	invented by nomadic pastorialists
cultural diffusion	spreading new technologies (chariot, bow and arrow, iron weapons) and religions
pastoralism impact on environment	overgrazed grasslands led to erosion and desertification
domestication of plants/agriculture	began 10,000 years ago
practice of agriculture in Neolithic period	wheat and barley - Middle East --&gt; Europe, Egypt, North Africa<div>plantains, dates yams - Sub-Saharan Africa</div><div>taro, millet, rice - Asia</div><div>potatoes, corn, beans, squash - Americas</div>
results of trasition to sedentary agriculturalism	formation of villages and cities<div>concept of private property</div><div>distinctions between social classes</div><div>specializaiton of labor (develop other skills)</div><div>hierarchy and social stratification</div><div>patriarchalism, gender inequity, gender division of labor</div>
environmental impact of agriculture	heavier than that of hunting-foraging and pastoralism<div>forest clearing, irrigation, mining, urban planning</div>
metallurgy	extracting metal from raw ore
metalsmithing	shaping metal into tools
Bronze Age	3500-1200 BCE after Neolithic<div>bronze metallurgy (copper+tin) in Middle East and China between 4000 and 3000 BCE</div>
development of iron	end of Bronze age
writing	innovation associated with transition to civilization
earliest forms of writing	Sumerians (3500-3000 BCE), Egyptians (3000 BCE), Indus River (2200 BCE), Chinese (2000 BCE)
polytheism	worship of many gods<div>prevalent in settled agricultural societies</div><div>permanent sites of worship and ritual erected</div>
The sittings of the House of Representatives&nbsp;are presided by <span class=cloze>[...]</span>, around whom the members sit in a semicircular pattern.	"The sittings of the House of Representatives&nbsp;are presided by <span class=cloze>the speaker in a ""rostrum""</span>, around whom the members sit in a semicircular pattern.<br> <img src=""paste-6124623364097.jpg"" />"
"The sittings of the House of Representatives&nbsp;are presided by the speaker in a ""rostrum"", around whom <span class=cloze>[...]</span>."	"The sittings of the House of Representatives&nbsp;are presided by the speaker in a ""rostrum"", around whom <span class=cloze>the members sit in a semicircular pattern</span>.<br> <img src=""paste-6124623364097.jpg"" />"
In the House of Representatives, <span class=cloze>[...]</span> calls upon members to intervene.	"In the House of Representatives, <span class=cloze>the speaker</span> calls upon members to intervene.<br> <img src=""paste-6472515715073.jpg"" />"
In the Lower House, the speaker is addressed as <span class=cloze>[...]</span>	"In the Lower House, the speaker is addressed as <span class=cloze>""Mr. Speaker"" or ""Madam Speaker.""&nbsp;</span><br> <img src=""paste-6468220747777.jpg"" />"
What's the difference between a tie in the Lower House and in the Upper House?	In the House of representatives, the speaker does not decide in a tie&nbsp;and the negative is taken by default. On the other hand, in the Senate, the Vicepresident of US and President of the Senate can decide.
A member of the House is referred to as a <span class=cloze>[...]</span>, <span class=cloze>[...]</span>, or <span class=cloze>[...]</span>. While Senators are members of Congress, these terms are used exclusively for members of the House of Representatives.	A member of the House is referred to as a <span class=cloze>Representative</span>, <span class=cloze>Congressman</span>, or <span class=cloze>Congresswoman</span>. While Senators are members of Congress, these terms are used exclusively for members of the House of Representatives.<br> 
A member of the House is referred to as a Representative, Congressman, or Congresswoman. While <span class=cloze>[...]</span> are members of Congress, these terms are used exclusively for members of the House of Representatives.	A member of the House is referred to as a Representative, Congressman, or Congresswoman. While <span class=cloze>Senators</span> are members of Congress, these terms are used exclusively for members of the House of Representatives.<br> 
Which one is the largest committee of the House?	"The Committee of the Whole.&nbsp;<div><img src=""paste-13249974108161.jpg"" /></div>"
What is the Committee of the Whole?	It is a more flexible way of meeting and debating, with the possibility of including non-voting members of Congress.&nbsp;
The Senate is composed of , each state being represented by .	
Senators are elected for <span class=cloze>[...]</span>, in a way that one third of them retire every two years to allow recycling of the chamber.	Senators are elected for <span class=cloze>six-year</span>, in a way that one third of them retire every two years to allow recycling of the chamber.<br> 
